name,address,lat,lon
"Tianjin","Tianjin, Tianjin, China",39.084158,117.200983
"Changsha","Changsha, Hunan, China",28.228209,112.938814
"Munich","Munich, Germany",48.1351253,11.5819806
"Jiangbeizhen", "Jiangbeizhen, Changsha, Changsha, Hunan, China",28.117314,113.356605
